subject,Trial,Degree,Picturetype,numfix,headfix,bodyfix,accuracy
102,78,270,2,0,0,0,1
102,79,90,2,0,0,2,1
102,80,0,2,0,2,0,1
102,81,180,2,0,0,1,1
102,82,135,2,0,1,0,1
102,83,225,1,30,0,0,1
102,84,180,3,0,0,9,1
102,85,0,3,0,18,0,1
102,86,225,2,12,0,0,1
102,87,270,2,0,0,0,1
102,88,45,2,0,4,0,1
102,89,90,1,0,0,0,1
102,90,270,3,15,0,0,1
102,91,90,1,0,0,3,1
102,92,270,1,0,0,0,1
102,93,90,2,0,0,0,1
102,94,135,1,0,0,0,1
102,95,135,3,0,0,0,1
102,96,45,1,3,0,0,1
104,1,45,3,2,0,0,1
104,2,270,3,0,0,0,1
104,3,315,1,0,0,0,1
104,4,135,2,0,0,0,1
104,5,270,2,0,0,0,1
104,6,270,3,0,0,0,1
104,7,315,1,0,0,0,1
104,8,45,3,0,0,0,1
104,9,315,1,0,0,0,1
104,10,225,2,0,0,0,1
104,11,225,3,0,0,0,1
104,12,135,1,0,0,5,1
104,13,0,1,0,0,0,1
104,14,315,2,0,0,0,1
104,15,135,2,0,0,0,1
104,16,0,1,0,4,0,1
104,17,90,3,0,0,0,1
104,18,270,1,0,0,0,1
104,19,0,2,0,0,0,1
104,20,225,2,0,0,0,1
104,21,315,2,1,0,0,1
104,22,315,3,0,0,0,1
104,23,315,3,0,0,0,1
104,24,135,2,0,0,0,1
104,25,45,2,0,0,0,1
104,26,180,2,0,0,0,1
104,27,225,3,0,0,3,1
104,28,135,1,0,0,0,1
104,29,90,1,1,0,0,1
104,30,0,2,0,10,0,1
104,31,225,1,0,0,0,1
104,32,180,1,0,0,0,1
104,33,225,2,0,0,3,1
104,34,225,3,0,0,1,1
104,35,90,3,0,0,0,1
104,36,315,3,0,0,0,1
104,37,180,3,0,0,0,1
104,38,90,3,9,0,0,1
104,39,180,1,4,0,0,1
104,40,135,3,1,0,0,1
104,41,225,3,0,0,0,1
104,42,0,2,0,0,0,1
104,43,90,2,0,0,0,1
104,44,180,2,0,0,0,1
104,45,225,1,1,0,0,1
104,46,180,3,5,0,0,1
104,47,0,1,0,0,0,1
104,48,315,2,0,0,0,1
104,49,135,3,0,0,0,1
104,50,270,2,0,0,0,1
104,51,90,2,0,0,0,1
104,52,45,3,0,0,0,1
104,53,90,1,0,0,0,1
104,54,0,3,0,0,0,1
104,55,225,1,0,0,0,1
104,56,45,1,0,0,0,1
104,57,90,3,0,0,0,1
104,58,180,2,6,0,0,1
104,59,45,1,0,0,0,1
104,60,135,3,3,0,0,1
104,61,180,1,0,0,0,1
104,62,270,1,2,0,0,1
104,63,0,3,0,9,0,1
104,64,45,2,0,0,0,1
104,65,0,3,0,0,0,1
104,66,135,2,0,0,1,1
104,67,45,2,0,0,0,1
104,68,315,3,0,0,0,1
104,69,315,1,1,0,0,1
104,70,270,3,4,0,0,1
104,71,90,1,0,0,0,1
104,72,270,1,0,0,0,0
104,73,270,2,0,0,0,1
104,74,90,1,0,0,0,1
104,75,90,2,0,0,0,1
104,76,225,2,0,0,0,1
104,77,135,1,0,0,0,1
104,78,0,2,0,0,0,0
104,79,135,3,0,0,0,1
104,80,270,3,1,0,0,1
104,81,270,1,0,0,0,1
104,82,45,3,0,0,0,1
104,83,180,2,0,0,0,0
104,84,45,1,0,0,0,1
104,85,225,1,0,0,0,1
104,86,90,2,0,0,0,1
104,87,180,1,2,0,0,1
104,88,0,1,6,0,0,1
104,89,45,1,0,0,0,1
104,90,0,3,0,5,0,1
104,91,135,1,0,0,0,1
104,92,180,3,0,0,0,1
104,93,270,2,0,0,0,1
104,94,45,2,0,0,0,1
104,95,180,3,0,0,0,1
104,96,315,2,0,0,0,0
105,1,315,1,2,0,0,1
105,2,315,1,0,0,0,1
105,3,0,1,0,0,0,1
105,4,0,1,0,0,0,1
105,5,45,2,5,0,0,1
